u,v,key,osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,access,service,bridge,junction
277875336,317557475,0,28889913,과학로,residential,False,False,34.081,,"LINESTRING (127.3659406 36.3753033, 127.3661869 36.375537)",,,,,
277875336,4213322167,0,25501406,과학로,secondary,False,True,67.991,4,"LINESTRING (127.3659406 36.3753033, 127.3654682 36.375518, 127.3652598 36.3755666)",,,,,
317557475,277875336,0,28889913,과학로,residential,False,True,34.081,,"LINESTRING (127.3661869 36.375537, 127.3659406 36.3753033)",,,,,
317557475,4213322167,0,669603359,,path,False,False,85.752,,"LINESTRING (127.3661869 36.375537, 127.3655544 36.3756465, 127.3652598 36.3755666)",,,,,
317557510,4627817988,0,1037932974,대학로291번라길,service,False,False,72.087,,"LINESTRING (127.3654237 36.3734724, 127.3648536 36.3730146)",30,customers,,,
317557510,4722087782,0,979941423,대학로291번마길,service,False,False,88.95400000000001,,"LINESTRING (127.3654237 36.3734724, 127.3651315 36.3737091, 127.3647233 36.3740398)",30,customers,,,
317557510,4731581478,0,1037932974,대학로291번라길,service,False,True,123.374,,"LINESTRING (127.3654237 36.3734724, 127.3655287 36.3734722, 127.3668017 36.3734695)",30,customers,,,
317557514,4941377123,0,28889923,대학로291번마길,service,False,False,45.366,,"LINESTRING (127.3635039 36.3745019, 127.3629972 36.374499)",30,customers,,,
317557514,4627982679,0,78058704,대학로291번바길,service,False,False,48.161,,"LINESTRING (127.3635039 36.3745019, 127.3629951 36.3746425)",30,yes,,,
317557514,2290285064,0,979941423,대학로291번마길,service,False,True,96.56200000000001,,"LINESTRING (127.3635039 36.3745019, 127.3639054 36.3744974, 127.36403 36.3744914, 127.3641555 36.3744607, 127.3642649 36.3744088, 127.3644737 36.3742421)",30,customers,,,
317557515,2294284343,0,28889923,대학로291번마길,service,False,False,27.791,,"LINESTRING (127.3610299 36.3744869, 127.3607198 36.3744981)",30,customers,,,
317557515,2331416651,0,28889923,대학로291번마길,service,False,True,101.858,,"LINESTRING (127.3610299 36.3744869, 127.3621675 36.3744991)",30,customers,,,
317557515,317557535,0,28889921,,service,False,False,109.87899999999999,,"LINESTRING (127.3610299 36.3744869, 127.3610301 36.3740403, 127.3610271 36.3738709, 127.3610237 36.3736183, 127.3610203 36.3734988)",30,yes,,,
317557516,317557519,0,28889923,대학로291번마길,service,False,False,44.421,,"LINESTRING (127.3598306 36.3744978, 127.3598096 36.3744914, 127.3597883 36.3744826, 127.3597637 36.3744677, 127.3597414 36.3744494, 127.3594936 36.3742099)",30,customers,,,
317557516,2294284343,0,28889923,대학로291번마길,service,False,True,79.77600000000001,,"LINESTRING (127.3598306 36.3744978, 127.3598551 36.3745031, 127.3598806 36.3745083, 127.360106 36.3745099, 127.3607198 36.3744981)",30,customers,,,
317557516,917104038,0,78058696,,service,False,False,187.695,,"LINESTRING (127.3598306 36.3744978, 127.3594 36.3750054, 127.3592125 36.3752914, 127.3589785 36.3756838, 127.3585878 36.3756877)",30,yes,,,
317557519,317557534,0,28889923,대학로291번마길,service,False,False,125.706,,"LINESTRING (127.3594936 36.3742099, 127.3594159 36.3741439, 127.3593808 36.3741132, 127.3593427 36.3740857, 127.3593008 36.3740656, 127.3592496 36.3740549, 127.3590443 36.3740536, 127.3590127 36.3740497, 127.3589786 36.3740402, 127.35895 36.3740289, 127.358931 36.3740203, 127.3589129 36.3740067, 127.3588967 36.3739918, 127.3588841 36.3739725, 127.3588767 36.3739533, 127.3588707 36.3739277, 127.358861 36.3735196, 127.3588596 36.373424)",30,customers,,,
317557519,317557516,0,28889923,대학로291번마길,service,False,True,44.421,,"LINESTRING (127.3594936 36.3742099, 127.3597414 36.3744494, 127.3597637 36.3744677, 127.3597883 36.3744826, 127.3598096 36.3744914, 127.3598306 36.3744978)",30,customers,,,
317557519,917104049,0,78058699,,service,False,False,48.550000000000004,,"LINESTRING (127.3594936 36.3742099, 127.3591886 36.3744726, 127.3591903 36.3745496)",30,yes,,,
317557534,317557519,0,28889923,대학로291번마길,service,False,True,125.70599999999999,,"LINESTRING (127.3588596 36.373424, 127.358861 36.3735196, 127.3588707 36.3739277, 127.3588767 36.3739533, 127.3588841 36.3739725, 127.3588967 36.3739918, 127.3589129 36.3740067, 127.358931 36.3740203, 127.35895 36.3740289, 127.3589786 36.3740402, 127.3590127 36.3740497, 127.3590443 36.3740536, 127.3592496 36.3740549, 127.3593008 36.3740656, 127.3593427 36.3740857, 127.3593808 36.3741132, 127.3594159 36.3741439, 127.3594936 36.3742099)",30,customers,,,
317557534,2294279586,0,468996775,대학로291번길,service,False,False,147.06599999999997,,"LINESTRING (127.3588596 36.373424, 127.3583531 36.3734214, 127.3579239 36.373424, 127.3574597 36.3734221, 127.3572173 36.3734317)",30,customers,,,
317557534,317557538,0,468996775,대학로291번길,service,False,True,65.13,,"LINESTRING (127.3588596 36.373424, 127.3589249 36.3734217, 127.3591696 36.3734197, 127.3592106 36.3734239, 127.3594179 36.3734224, 127.3595851 36.3734408)",30,customers,,,
317557535,317557515,0,28889921,,service,False,True,109.87899999999999,,"LINESTRING (127.3610203 36.3734988, 127.3610237 36.3736183, 127.3610271 36.3738709, 127.3610301 36.3740403, 127.3610299 36.3744869)",30,yes,,,
317557535,2331416740,0,77338254,,service,False,False,141.16500000000002,,"LINESTRING (127.3610203 36.3734988, 127.361107 36.3734388, 127.3613023 36.3732822, 127.3617115 36.3729722, 127.3621346 36.3726019)",30,yes,,,
317557535,4943314670,0,"[504129578, 224319933]",,service,False,False,116.434,,"LINESTRING (127.3610203 36.3734988, 127.3620302 36.3735079, 127.3621004 36.3735076, 127.3621016 36.3733302)",30,yes,parking_aisle,,
317557535,317557538,0,468996775,대학로291번길,service,False,False,128.99400000000003,,"LINESTRING (127.3610203 36.3734988, 127.3609187 36.3735043, 127.3606297 36.3735056, 127.3604698 36.3735034, 127.3602935 36.3735055, 127.3602539 36.373507, 127.3601072 36.37349, 127.3598006 36.3734554, 127.3595851 36.3734408)",30,customers,,,
317557538,2293592121,0,77338255,오름길,service,False,True,52.296,,"LINESTRING (127.3595851 36.3734408, 127.3595862 36.3733784, 127.359585 36.3729705)",30,customers,,,
317557538,317557534,0,468996775,대학로291번길,service,False,False,65.13,,"LINESTRING (127.3595851 36.3734408, 127.3594179 36.3734224, 127.3592106 36.3734239, 127.3591696 36.3734197, 127.3589249 36.3734217, 127.3588596 36.373424)",30,customers,,,
317557538,317557535,0,468996775,대학로291번길,service,False,True,128.994,,"LINESTRING (127.3595851 36.3734408, 127.3598006 36.3734554, 127.3601072 36.37349, 127.3602539 36.373507, 127.3602935 36.3735055, 127.3604698 36.3735034, 127.3606297 36.3735056, 127.3609187 36.3735043, 127.3610203 36.3734988)",30,customers,,,
317557612,317557615,0,28889925,대학로291번나길,service,False,False,143.14200000000002,,"LINESTRING (127.3612786 36.3715883, 127.3614102 36.3714597, 127.3616752 36.371274, 127.362073 36.3710064, 127.362314 36.3708869, 127.362373 36.370868, 127.3625362 36.3708158)",30,customers,,,
317557612,2293534114,0,1037932974,대학로291번라길,service,False,False,66.41900000000001,,"LINESTRING (127.3612786 36.3715883, 127.3611053 36.3715043, 127.3607149 36.3713049, 127.3606504 36.3712707)",30,customers,,,
317557612,5437915825,0,1037932974,대학로291번라길,service,False,True,132.20600000000002,,"LINESTRING (127.3612786 36.3715883, 127.3620734 36.3720487, 127.3622793 36.3721762, 127.3624543 36.3723058)",30,customers,,,
317557615,317557616,0,28889925,대학로291번나길,service,False,False,61.145,,"LINESTRING (127.3625362 36.3708158, 127.3632113 36.3707328)",30,customers,,,
317557615,317557612,0,28889925,대학로291번나길,service,False,True,143.142,,"LINESTRING (127.3625362 36.3708158, 127.362373 36.370868, 127.362314 36.3708869, 127.362073 36.3710064, 127.3616752 36.371274, 127.3614102 36.3714597, 127.3612786 36.3715883)",30,customers,,,
317557615,2293536691,0,"[564397176, 78058687]",,"['service', 'pedestrian']",False,False,93.10900000000001,,"LINESTRING (127.3625362 36.3708158, 127.3624766 36.3707652, 127.3624531 36.3707537, 127.3621744 36.3706018, 127.3618162 36.3704115, 127.3616843 36.3703384)",30,yes,,,
317557616,317557615,0,28889925,대학로291번나길,service,False,True,61.145,,"LINESTRING (127.3632113 36.3707328, 127.3625362 36.3708158)",30,customers,,,
317557616,2293585791,0,28889925,대학로291번나길,service,False,False,13.963999999999999,,"LINESTRING (127.3632113 36.3707328, 127.3633063 36.3707351, 127.3633672 36.370736)",30,customers,,,
317557616,2293539664,0,938351303,대학로291번다길,service,False,False,43.94199999999999,,"LINESTRING (127.3632113 36.3707328, 127.3632176 36.370663, 127.3632492 36.3703388)",30,customers,,,
317557623,317557625,0,28889925,대학로291번나길,service,False,False,14.658,,"LINESTRING (127.3652312 36.3711678, 127.3653693 36.371097)",30,customers,,,
317557623,2293585318,0,28889925,대학로291번나길,service,False,True,86.74100000000001,,"LINESTRING (127.3652312 36.3711678, 127.3650561 36.3711704, 127.3648957 36.3711239, 127.3645007 36.370938, 127.3644278 36.3709113, 127.3643483 36.3708858)",30,customers,,,
317557623,2293584747,0,220230113,,service,False,False,27.483,,"LINESTRING (127.3652312 36.3711678, 127.3652086 36.3712544, 127.365093 36.3713829)",30,yes,,,
317557625,2293581218,0,28889925,대학로291번나길,service,False,False,48.046,,"LINESTRING (127.3653693 36.371097, 127.3656683 36.3707382)",30,customers,,,
317557625,317557623,0,28889925,대학로291번나길,service,False,True,14.658,,"LINESTRING (127.3653693 36.371097, 127.3652312 36.3711678)",30,customers,,,
317557625,2293583308,0,220229986,,path,False,True,71.616,,"LINESTRING (127.3653693 36.371097, 127.3661202 36.3708751)",,yes,,,
317557633,2204213101,0,28889925,대학로291번나길,service,False,False,117.685,,"LINESTRING (127.3667934 36.3675456, 127.365693 36.3669668)",30,customers,,,
317557633,4943734758,0,504188988,,service,False,False,9.875,,"LINESTRING (127.3667934 36.3675456, 127.3668553 36.3674721)",,,parking_aisle,,
317557633,2293556605,0,28889925,대학로291번나길,service,False,True,45.093999999999994,,"LINESTRING (127.3667934 36.3675456, 127.3671263 36.3677347, 127.3671884 36.3677939)",30,customers,,,
317557633,2293556604,0,220226903,,service,False,False,19.222,,"LINESTRING (127.3667934 36.3675456, 127.3667636 36.3675829, 127.3666773 36.367691)",30,yes,,,
317557634,2293550214,0,28889925,대학로291번나길,service,False,True,64.777,,"LINESTRING (127.3649953 36.3665814, 127.3655931 36.3669095)",30,customers,,,
317557634,4943734756,0,504188986,,service,False,False,10.923,,"LINESTRING (127.3649953 36.3665814, 127.3650701 36.3665038)",,,parking_aisle,,
317557634,4943734754,0,28889925,대학로291번나길,service,False,False,34.624,,"LINESTRING (127.3649953 36.3665814, 127.3647645 36.366472, 127.3646531 36.3664386)",30,customers,,,
317557634,2293552798,0,220226655,,service,False,False,29.261,,"LINESTRING (127.3649953 36.3665814, 127.3649639 36.3666204, 127.3648175 36.3668022)",30,yes,,,
317557637,4943734748,0,504188983,,service,False,False,12.297,,"LINESTRING (127.3642842 36.3664138, 127.364312 36.3663055)",,,parking_aisle,,
317557637,317557642,0,28889925,대학로291번나길,service,False,False,72.967,,"LINESTRING (127.3642842 36.3664138, 127.3640224 36.3663933, 127.3638703 36.3663594, 127.3637255 36.3662983, 127.3635298 36.3662001)",30,customers,,,
317557637,4943734754,0,28889925,대학로291번나길,service,False,True,33.168,,"LINESTRING (127.3642842 36.3664138, 127.3645248 36.3664248, 127.3646531 36.3664386)",30,customers,,,
317557642,317557637,0,28889925,대학로291번나길,service,False,True,72.967,,"LINESTRING (127.3635298 36.3662001, 127.3637255 36.3662983, 127.3638703 36.3663594, 127.3640224 36.3663933, 127.3642842 36.3664138)",30,customers,,,
317557642,4627973436,0,468250682,,service,True,False,57.876000000000005,2,"LINESTRING (127.3635298 36.3662001, 127.3635215 36.3661175, 127.3638045 36.3657439)",,,,,
317557642,2292328367,0,468250685,카이서로,service,False,False,70.641,,"LINESTRING (127.3635298 36.3662001, 127.3633576 36.3661078, 127.3632958 36.3660677, 127.3631737 36.365975, 127.3630874 36.3658694, 127.3630272 36.3657906, 127.3630014 36.3657443)",30,customers,,,
