osmid,y,x,street_count,highway,geometry
277875336,36.3753033,127.3659406,3,,POINT (127.3659406 36.3753033)
317557475,36.375537,127.3661869,4,,POINT (127.3661869 36.375537)
317557510,36.3734724,127.3654237,3,,POINT (127.3654237 36.3734724)
317557514,36.3745019,127.3635039,3,,POINT (127.3635039 36.3745019)
317557515,36.3744869,127.3610299,3,,POINT (127.3610299 36.3744869)
317557516,36.3744978,127.3598306,3,,POINT (127.3598306 36.3744978)
317557519,36.3742099,127.3594936,3,,POINT (127.3594936 36.3742099)
317557534,36.373424,127.3588596,3,,POINT (127.3588596 36.373424)
317557535,36.3734988,127.3610203,4,,POINT (127.3610203 36.3734988)
317557538,36.3734408,127.3595851,3,,POINT (127.3595851 36.3734408)
317557612,36.3715883,127.3612786,3,,POINT (127.3612786 36.3715883)
317557615,36.3708158,127.3625362,3,,POINT (127.3625362 36.3708158)
317557616,36.3707328,127.3632113,3,,POINT (127.3632113 36.3707328)
317557623,36.3711678,127.3652312,3,,POINT (127.3652312 36.3711678)
317557625,36.371097,127.3653693,3,,POINT (127.3653693 36.371097)
317557633,36.3675456,127.3667934,4,,POINT (127.3667934 36.3675456)
317557634,36.3665814,127.3649953,4,,POINT (127.3649953 36.3665814)
317557637,36.3664138,127.3642842,3,,POINT (127.3642842 36.3664138)
317557642,36.3662001,127.3635298,5,,POINT (127.3635298 36.3662001)
317557648,36.369837,127.3607721,4,,POINT (127.3607721 36.369837)
317557651,36.3702691,127.3602929,3,,POINT (127.3602929 36.3702691)
317557652,36.3704484,127.3600488,3,,POINT (127.3600488 36.3704484)
317557655,36.3713137,127.3584086,3,,POINT (127.3584086 36.3713137)
317557656,36.3714661,127.3579074,3,,POINT (127.3579074 36.3714661)
317557670,36.3717539,127.3571531,3,,POINT (127.3571531 36.3717539)
317557673,36.3725918,127.356416,3,,POINT (127.356416 36.3725918)
352963031,36.3643694,127.360668,3,,POINT (127.360668 36.3643694)
352963156,36.3659319,127.3577756,3,,POINT (127.3577756 36.3659319)
352963165,36.3679879,127.3564309,3,,POINT (127.3564309 36.3679879)
352963182,36.3686727,127.3559719,3,,POINT (127.3559719 36.3686727)
352963189,36.3693408,127.3555498,3,,POINT (127.3555498 36.3693408)
352963217,36.3701577,127.3552754,3,,POINT (127.3552754 36.3701577)
352963275,36.3701552,127.3555922,3,,POINT (127.3555922 36.3701552)
352963317,36.3663891,127.3585929,3,,POINT (127.3585929 36.3663891)
352963331,36.3664399,127.3594766,3,,POINT (127.3594766 36.3664399)
352963401,36.3657164,127.3588318,3,,POINT (127.3588318 36.3657164)
910330593,36.3691105,127.3648106,3,,POINT (127.3648106 36.3691105)
910330595,36.3708482,127.3680429,1,,POINT (127.3680429 36.3708482)
917104038,36.3756877,127.3585878,1,,POINT (127.3585878 36.3756877)
917104049,36.3745496,127.3591903,1,,POINT (127.3591903 36.3745496)
917104096,36.375811,127.3611192,3,,POINT (127.3611192 36.375811)
2060630060,36.3721381,127.3595717,3,,POINT (127.3595717 36.3721381)
2074603279,36.3698829,127.3660752,3,,POINT (127.3660752 36.3698829)
2204213101,36.3669668,127.365693,4,,POINT (127.365693 36.3669668)
2290285064,36.3742421,127.3644737,4,,POINT (127.3644737 36.3742421)
2292328365,36.3671038,127.3626946,3,,POINT (127.3626946 36.3671038)
2292328367,36.3657443,127.3630014,3,,POINT (127.3630014 36.3657443)
2292329732,36.3661763,127.3624921,3,,POINT (127.3624921 36.3661763)
2292329733,36.3662543,127.3619754,3,,POINT (127.3619754 36.3662543)
2292330391,36.3650104,127.3618803,3,,POINT (127.3618803 36.3650104)
2292330392,36.3653835,127.3626291,3,,POINT (127.3626291 36.3653835)
2292331317,36.3654098,127.360594,1,,POINT (127.360594 36.3654098)
2292331321,36.3647602,127.3614071,4,,POINT (127.3614071 36.3647602)
2292335706,36.3667909,127.3595277,3,,POINT (127.3595277 36.3667909)
2292336709,36.3681069,127.3620618,3,crossing,POINT (127.3620618 36.3681069)
